Order_ID,Order_Date,Ship_Days,Ship_Date,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Segment,Region,Country,State,City,Category,Product,Quantity,Unit_Price,Discount,Total_Sales,Profit,Profit_Margin,Shipping_Cost,Order_Priority,Delivery_Status,Return_Reason,zscore_sales,zscore_profit,GMV,Efective_Price,Delivery_Statuses,Order_Month,Cohort_Month
ORD-1000,2025-07-30,6,2025-08-05,CUST-6461,Amy Hess,47,Male,Consumer,South,United States,Ohio,Eugeneport,Technology,CPU,1,73,0.4222716854959983,42.17416695879212,7.968328938449351,0.1889386207968283,12.497023409202932,High,Pending,,-1.1018310269931855,-0.9298312000303474,73,42.17416695879213,-6,2025-07,2025-07
ORD-1001,2024-12-19,3,2024-12-22,CUST-1931,Eddie Gardner,40,Female,Home Office,North,United States,Hawaii,Katelynberg,Furniture,Bookshelf,8,65,0.2721709738196379,378.4710936137883,34.76122950393234,0.0918464582645366,6.415820273859275,Medium,Delivered,,-0.7076341102916315,-0.7562756971146721,520,47.30888670172354,-3,2024-12,2024-12
ORD-1002,2024-12-27,4,2024-12-31,CUST-5344,Brandon Munoz,37,Female,Corporate,North,United States,Iowa,New Katie,Furniture,Bookshelf,9,401,0.3738741256898485,2259.6882803853364,318.8117597454712,0.1410866102695834,2.961313706427018,High,Delivered,,1.497470830890556,1.0837092089258962,3609,251.07647559837073,-4,2024-12,2024-12
ORD-1003,2024-11-29,3,2024-12-02,CUST-5657,Keith Adams,26,Female,Corporate,North,United States,Florida,Walkerstad,Technology,LCD Monitor,3,257,0.1481795215104797,656.7535889154201,99.09351064444884,0.1508838509860211,7.596489386890062,Critical,Pending,,-0.3814399261489491,-0.33955256630743913,771,218.9178629718067,-3,2024-11,2024-11
ORD-1004,2025-05-29,3,2025-06-01,CUST-2748,Brandon Jackson,41,Male,Home Office,South,United States,North Dakota,East Alicia,Technology,CPU,5,320,0.55805239369613,707.1161700861919,96.17680500168292,0.1360127360543314,17.84888269335532,Low,Cancelled,,-0.32240645708898125,-0.3584460158408343,1600,141.4232340172384,-3,2025-05,2025-05
ORD-1005,2025-10-14,5,2025-10-19,CUST-4958,Michael Cole,32,Female,Consumer,North,United States,Minnesota,Nancyview,Office Supply,Desk Organizer,2,454,0.1888218431262728,736.5497664413443,47.642578162347576,0.0646834475184666,11.498947230793146,Low,Returned,Incorrect Item,-0.2879053004889323,-0.6728346027404575,908,368.27488322067217,-5,2025-10,2025-10
ORD-1006,2025-07-21,1,2025-07-22,CUST-4825,Christine Harmon,41,Female,Home Office,South,United States,Florida,New Carrie,Office Supply,Paper,5,75,0.4238184622944922,216.0680766395654,53.34461681469085,0.2468880069853069,3.3970132864766525,Medium,Pending,,-0.8979979330926202,-0.635898691918358,375,43.21361532791308,-1,2025-07,2024-12
ORD-1007,2025-04-08,1,2025-04-09,CUST-5060,Gabriel Hayes,43,Female,Home Office,North,United States,Delaware,Kellyview,Office Supply,Paper,2,203,0.4433068708651203,226.0174104287612,16.834093129777695,0.0744813998967732,15.75277005865838,Medium,Cancelled,,-0.886335629954896,-0.8724017269056619,406,113.0087052143806,-1,2025-04,2025-04
ORD-1008,2025-04-24,6,2025-04-30,CUST-2031,Robert Rivera,20,Female,Consumer,Central,United States,Wisconsin,East Jeffreyburgh,Technology,Mouse,3,359,0.0360719087381931,1038.150554288966,213.33064228102205,0.2054910450123808,5.583045494144484,Medium,Cancelled,,0.06562186916688867,0.40043759580184407,1077,346.0501847629887,-6,2025-04,2025-04
ORD-1009,2025-11-02,7,2025-11-09,CUST-1166,Elizabeth Anderson,38,Male,Corporate,North,United States,Oregon,Aprilchester,Office Supply,Desk Organizer,6,66,0.1054120234437066,354.2568387162922,50.87576423677819,0.1436126523940508,15.89536705422594,Medium,Delivered,,-0.7360173153234477,-0.6518910981804968,396,59.04280645271537,-7,2025-11,2025-03
